series,patient,group,label,slice_idx,liver_px,fo_mean,fo_median,fo_std,fo_skewness,fo_kurtosis,fo_p10,fo_p90,fo_iqr,fo_range,fo_entropy,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_dissimilarity,glcm_asm
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,45,10437,65.63868927852832,69.0,35.04161762425874,-1.2539740816289802,3.8695064533692918,28.0,103.0,37.0,299.0,0.7516967103502203,10.49166384690948,0.966001500660336,0.8527134770953475,0.8772791672879434,0.8895966295842705,0.7271216681111933
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,48,11022,68.60714933768826,71.0,32.37407377722833,-0.8323468410594432,2.651821583458272,32.0,106.0,37.0,282.0,0.79206147823953,13.070978543846268,0.9650233329571187,0.8440378730667932,0.8688508597867817,1.0155146657076146,0.7124015073055562
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,51,13507,59.95676315984304,67.0,41.66745733532461,-1.281763241270769,2.4114235764467145,11.0,103.0,42.0,269.0,0.8591416351002616,17.088232890404065,0.9621625358106243,0.8090042870707969,0.8381975723964809,1.2882759281088965,0.6544906180146459
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,54,14605,66.14844231427594,69.0,31.847243426541713,-0.9593304044257907,3.023712417163715,30.0,102.0,36.0,277.0,0.8025970194995439,17.79084106117138,0.9621708556638782,0.793209135439361,0.8267136862052367,1.3417149294860957,0.6291837035576292
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,57,17322,61.1797713889851,64.0,33.65144780678573,-1.0673704839134193,2.972587596286047,23.0,98.0,37.0,282.0,0.794524976598135,19.832321124590273,0.9593045688547858,0.7550176693352738,0.7952125798562122,1.5526022382737383,0.5700557493116204
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,60,18306,61.88397246804326,64.0,30.87645346261527,-0.8352446303396602,2.611529589752762,25.0,97.0,36.0,281.0,0.7886701524442046,21.70288406358491,0.9574191501351942,0.7409738400639286,0.7829755597883166,1.6624099659264717,0.5490467655313825
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,63,21608,59.997732321362456,63.0,34.35593124219062,-1.1405868927175842,3.2002636453049274,21.0,98.0,39.0,270.0,0.8315606982183095,26.178477411503884,0.9569686984750603,0.6952394505144213,0.7424323058465043,2.009004244478105,0.48336330019053736
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,66,22849,65.55521029366712,68.0,31.048709261544776,-0.84535206552457,2.7502898613064737,29.0,101.0,36.0,286.0,0.7756133724650113,25.72023141304639,0.9563904093026694,0.6771982899875328,0.7302522738154993,2.026766997571264,0.4586038164049372
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,69,24796,66.71531698661074,69.0,33.216092739059995,-0.9849085256016055,3.1037719786231754,29.0,104.0,37.0,286.0,0.7833414834927803,26.879220396389833,0.957261944016524,0.6501801456849852,0.7075616994992046,2.177832804282969,0.42274105345208757
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,72,25714,68.1582795364393,70.0,31.213869711621218,-0.671885923621724,2.1652989593281236,31.0,105.0,37.0,304.0,0.7322821657836116,24.889433283640642,0.9564144693405499,0.6370503845887209,0.7002804071620428,2.1239953362842003,0.4058406340198316
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,75,27465,66.74542144547605,69.0,34.13727334099371,-0.9962414553988999,3.4282297307085123,29.0,104.0,38.0,324.0,0.6938169262787598,23.600627574241372,0.9541484261048471,0.6131216979640477,0.6832734759014617,2.141169587862457,0.37592609258517773
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,78,28034,68.05718056645502,70.0,32.355228144961,-0.8107188841103528,2.754347360425781,30.0,105.0,37.0,294.0,0.7606003856354996,29.523206493170612,0.9537259762297853,0.6044667300029563,0.6702236793784763,2.4209325075538026,0.3653888554324104
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,81,29458,67.71294724692783,70.0,33.611060641468875,-0.7821789471662571,2.6552781345386824,29.0,106.0,39.0,337.0,0.6677878907103528,23.636116217388295,0.9519969507651547,0.5844632660685791,0.662565439409049,2.218581891326523,0.34160694976144906
